   x_1             x_2             x_3             x_4            t
   3.0903322e-01   5.1497089e-01   7.1080056e-02   1.3645976e-01   3.4032419e-01
   4.0227107e-02   3.2975810e-01   8.6802533e-01   1.2380667e-01  -2.3018948e-01
   3.5409625e-01   4.0424446e-01   4.5793082e-01   5.5883186e-01   2.1180270e-01
   8.6830292e-01   6.1290546e-01   9.7565220e-01   7.0338634e-01   1.1431135e-01
   1.3960661e-01   6.1739258e-01   1.0151706e-01   4.7282563e-01   4.7424907e-01
   4.6322927e-01   9.3230015e-01   8.4218474e-01   5.2597311e-01  -2.6610235e-01
   2.9255846e-01   7.6614460e-01   5.9625255e-01   4.7424079e-01  -6.2446721e-01
   4.4870690e-02   6.3392896e-01   1.3905445e-01   4.3635298e-01   3.0108757e-01
   7.8586973e-01   4.9242188e-01   8.2284046e-01   1.3572500e-01   9.2317020e-01
   4.6298098e-01   7.3249664e-01   9.8742791e-01   5.0377007e-01  -1.1251883e-01
   8.3268556e-01   6.7431189e-01   9.3801320e-01   4.1557830e-01   3.7823434e-01
   2.7416873e-01   9.8956693e-01   6.8891555e-01   8.0053644e-01  -9.6930612e-01
   7.2457252e-01   2.2267074e-01   9.6782569e-01   7.6230051e-01   1.4631670e-01
   5.0195766e-01   4.5064908e-01   6.2822176e-01   1.1621581e-01   1.8093203e-02
   2.3058205e-01   7.4777867e-01   6.8664756e-01   4.0924689e-01  -9.1044284e-01
   7.0605502e-02   1.3856038e-01   7.0941612e-01   6.4701896e-01  -4.4560699e-01
   8.6423567e-01   3.2568431e-01   9.2547618e-01   9.2591790e-01   4.0110862e-01
   5.9780568e-01   4.5178805e-01   4.9680257e-01   9.2335581e-01  -5.2707778e-02
   1.3842362e-01   7.0215555e-02   4.2701734e-01   1.1158839e-01   4.4395281e-01
   3.2281573e-01   6.8099418e-01   6.9540732e-01   8.0480587e-01  -9.4612128e-01
   3.9437316e-01   5.4144333e-01   4.6609609e-01   9.3988381e-01   1.0503111e-01
   5.8566047e-01   8.9805145e-01   6.8865351e-01   9.2419654e-01   5.1091360e-01
   2.3355853e-01   9.7884756e-01   5.0779711e-01   8.7905271e-01   7.0734112e-03
   8.7071088e-01   5.4740818e-01   6.5003515e-01   6.1802697e-01   5.9151238e-01
