   x_1             x_2             x_3             x_4            t
   8.6075565e-01   3.6655836e-01   3.4461256e-01   5.5279892e-01  -6.3816119e-01
   2.2155184e-01   6.4101430e-01   6.0743845e-01   5.2762915e-01  -6.3775845e-01
   4.9027712e-01   7.2345186e-01   2.0092959e-01   8.4980267e-01   9.7815002e-02
   6.3756075e-01   9.9669760e-01   3.6231008e-01   7.1157693e-01  -5.5299056e-01
   3.6890118e-01   5.8486647e-01   4.4938994e-01   1.4271097e-01   2.1313862e-01
   1.1246984e-02   3.3746706e-01   2.3872945e-01   1.3520062e-01   1.0459488e-01
   5.2540296e-01   7.8050415e-02   5.5575917e-01   8.5317054e-01   1.6673655e-01
   9.6749895e-01   1.6216703e-01   9.7253398e-01   5.4345583e-01  -1.9729491e-02
   8.2241336e-01   8.3653170e-01   4.6298910e-01   1.1924364e-01  -2.2730556e-01
   2.1562162e-01   7.6275446e-01   9.4826930e-01   7.8671191e-01  -3.1142719e-01
   4.4730581e-01   1.0953424e-01   5.7534339e-01   2.8828093e-02  -2.5327495e-01
   9.8987920e-01   7.7861450e-01   5.8976707e-01   6.6072224e-01   8.8747441e-03
   5.3293870e-01   6.3638614e-01   8.2987042e-01   5.4343560e-01   2.4207927e-01
   4.4253410e-01   8.5110786e-01   2.2296091e-01   5.8795538e-01   3.1175811e-01
   6.0859791e-01   9.8440581e-01   4.4108085e-01   4.9167121e-01  -2.1116111e-01
   3.9937258e-01   2.8721261e-01   9.0998195e-01   3.4072528e-01  -2.8421042e-01
   8.2684017e-01   6.3911151e-01   1.2474814e-01   1.1020546e-01  -6.7940273e-01
   4.0693244e-01   8.0259295e-01   5.3345778e-01   1.0798659e-01  -9.6020866e-02
   2.5688766e-01   3.3432755e-01   4.5084198e-01   4.4180726e-01   3.6255210e-01
   4.9670433e-01   7.7582017e-01   1.1378707e-01   6.4288861e-01  -5.2144226e-02
   6.2959520e-02   9.5024218e-01   8.4051948e-01   9.5946790e-01  -3.4474968e-01
   6.4106806e-01   3.1615250e-01   1.3075361e-01   9.4608682e-01  -4.9194800e-01
   5.1801946e-01   8.5858711e-01   2.8644749e-01   4.9863301e-01  -1.0264942e-01
   2.2719410e-01   5.0090366e-01   5.8687618e-01   5.7713929e-01  -5.0679624e-01
   9.5288262e-01   5.1374757e-01   4.4152858e-01   9.4205406e-01  -1.3278766e-01
   8.5241103e-01   3.2329960e-01   4.1024885e-01   7.3681186e-01  -3.4693369e-01
   5.2252532e-01   8.4452954e-01   3.6208868e-01   7.3112415e-01  -7.7235482e-02
   1.9823643e-01   1.1780424e-01   2.1806030e-01   2.1417800e-02   9.3126924e-01
   6.3664141e-01   3.5584352e-01   1.8118973e-01   7.4991574e-01  -6.6110024e-01
   5.3163237e-01   6.7929765e-01   1.0041019e-01   4.8050605e-01  -1.2435853e-01
   4.4815726e-01   7.8583822e-01   7.2930882e-01   7.2621947e-01  -3.6791629e-01
   3.7016232e-01   3.0369885e-01   1.6786588e-02   5.2937269e-01   8.2498058e-02
   4.2816167e-01   4.2280475e-01   8.6751185e-01   2.8320996e-01  -2.9662739e-01
   7.9400357e-01   6.7729282e-01   4.6285702e-01   9.7873194e-01  -2.6415410e-01
   8.3098209e-01   2.1047637e-01   1.1251976e-01   7.3671018e-01  -5.6927494e-01
   7.4953093e-01   9.4891290e-01   6.7575913e-01   8.6419142e-01   8.3541187e-01
   4.8920293e-01   8.7866599e-01   9.2579998e-01   2.2604570e-02  -3.0053576e-02
   7.3694377e-01   2.2781544e-01   4.5469777e-02   9.0043790e-01  -2.8461004e-01
   9.4058802e-01   1.8671300e-01   3.5793545e-01   8.9541376e-01  -3.0732068e-01
   4.9182079e-01   1.3955233e-01   7.8876681e-01   2.1076403e-01   5.6076624e-03
   6.8029053e-01   9.9302916e-01   5.2129681e-01   5.3342716e-01   5.3342253e-02
   3.8191702e-01   8.6818108e-01   3.4170354e-01   9.0989470e-01   5.3316436e-01
   2.3195182e-01   1.2945506e-01   2.6953772e-01   2.3396780e-02   1.0165541e+00
   3.3421359e-01   2.3235363e-01   7.4839445e-01   1.8205035e-01  -8.1841950e-01
   4.2073982e-01   1.8987913e-01   8.2136301e-01   7.6599098e-01  -3.6050721e-01
   2.7995188e-01   2.8422865e-01   2.2505943e-01   8.7320324e-01   1.0565850e+00
   7.1558362e-01   4.8947666e-01   9.7115624e-01   5.2489232e-01   1.7360828e-01
   4.3702947e-01   8.3131304e-01   5.1804529e-01   2.7692988e-01  -7.3583152e-02
   2.9581911e-01   7.9231987e-01   4.4150710e-01   6.5929266e-01   4.1095466e-01
   8.0045346e-01   7.6986353e-01   8.4050423e-01   3.2564815e-01   7.8843664e-01
